CWE number,CWE name,file_name,issue desc,tags,Line,startLine,endLine
CWE-306,Missing Authentication for Critical Function,src/main/java/com/um/springbootprojstructure/config/SecurityConfig.java,"The security configuration permits every request through anyRequest().permitAll(), so all controllers execute without Spring Security enforcing authentication.",authentication|authorization|spring-security|web,30,18,30
CWE-862,Missing Authorization,src/main/java/com/um/springbootprojstructure/controller/AdminDirectoryController.java,"The /api/admin/directory/user-search endpoint is reachable without any role or authentication check, allowing non-admin callers to query directory data through DirectoryService.",authorization|admin|ldap|spring-mvc,19,19,25
CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,src/main/java/com/um/springbootprojstructure/controller/UserController.java,"The /api/users endpoint returns usernames, email addresses, roles, and account status values without any access-control enforcement.",information-disclosure|privacy|authorization|spring-mvc,20,20,33
CWE-639,Authorization Bypass Through User-Controlled Key,src/main/java/com/um/springbootprojstructure/controller/UserDocumentController.java,"The document read/write endpoints use only the path-supplied publicRef and perform no caller authentication, enabling unauthorized access or overwrite if that reference is obtained.",idor|authorization|file-upload|file-download|spring-mvc,22,22,39
CWE-798,Use of Hard-coded Credentials,src/main/resources/application.properties,"The application configuration hard-codes the notification API key and LDAP bind credentials.",hardcoded-secret|credentials|configuration|spring-boot,20,19,29
CWE-319,Cleartext Transmission of Sensitive Information,src/main/resources/application.properties,"The notification gateway base URL uses HTTP, so the configured API key and SMS-delivered OTP payloads would traverse the network without transport encryption.",cleartext-transport|secrets|mfa|spring-boot,19,19,20
CWE-489,Active Debug Code,src/main/resources/application.properties,"The H2 console is enabled in the shipped configuration, exposing a development-oriented administrative interface in the web context if deployed unchanged.",debug-interface|misconfiguration|admin-interface|spring-boot,11,11,12
CWE-798,Use of Hard-coded Credentials,src/main/java/com/um/springbootprojstructure/config/DataInitializer.java,"The startup CommandLineRunner seeds predictable default accounts with the fixed password Password123!, introducing built-in credentials.",hardcoded-credentials|default-account|authentication|spring-boot,27,23,38
CWE-256,Plaintext Storage of a Password,src/main/java/com/um/springbootprojstructure/entity/PasswordResetToken.java,"Password reset bearer tokens are stored directly in plaintext in the database instead of as one-way verifiers.",password-reset|token-storage|plaintext|persistence,21,21,22
CWE-256,Plaintext Storage of a Password,src/main/java/com/um/springbootprojstructure/entity/MfaChallenge.java,"The MFA one-time passcode is stored in plaintext in persistent storage, increasing disclosure impact if the database is exposed.",mfa|otp|plaintext|persistence,29,29,30
CWE-256,Plaintext Storage of a Password,src/main/java/com/um/springbootprojstructure/entity/SessionToken.java,"Session bearer tokens are stored in plaintext and later matched directly by SessionAuthService, so database disclosure immediately exposes valid sessions until expiry.",session-token|bearer-token|plaintext|spring-security,20,20,21
CWE-256,Plaintext Storage of a Password,src/main/java/com/um/springbootprojstructure/entity/PendingLogin.java,"The MFA step-one bearer token used across AuthServiceImpl and MfaServiceImpl is persisted in plaintext, so database disclosure enables takeover of pending authentication flows.",mfa|bearer-token|plaintext|workflow,18,18,19
